user_id,comment,date,label
1,This video is so funny!,2023-11-22,allow
2,I love the puppy! Can we have one?,2023-11-23,allow
3,This game is stupid! The creator is a loser.,2023-11-24,disallow
4,The colors are so pretty!,2023-11-25,allow
5,You're ugly and dumb.,2023-11-26,disallow
6,This was amazing! Can't wait for more content like this. 😊,2023-11-22,allow
7,Not really what I was expecting but still decent.,2023-11-22,allow
8,Seriously why is this even on YouTube? Waste of time.,2023-11-22,disallow
9,Wow this video just made my day! Thank you!,2023-11-22,allow
10,Could’ve done without the clickbait title. 😒,2023-11-22,disallow
11,Incredible quality! Keep up the great work!,2023-11-22,allow
12,This is the most boring thing I've watched all week.,2023-11-22,disallow
13,I’ve learned so much from this video thanks!,2023-11-22,allow
14,Sound quality could be better. Too much background noise.,2023-11-22,disallow
15,Another masterpiece! You never disappoint.,2023-11-22,allow
16,What a joke! I can't believe I wasted 10 minutes on this.,2023-11-22,disallow
17,This content is pure gold subscribed instantly!,2023-11-22,allow
18,Not your best work but still alright.,2023-11-22,allow
20,Wow this was really helpful especially the tips at the end!,2023-11-22,allow
21,Meh didn’t really get much out of this.,2023-11-22,disallow
22,This video should have way more views it's so allow!,2023-11-22,allow
23,Is it just me or was this video super confusing?,2023-11-22,disallow
24,I love the energy and passion in this video!,2023-11-22,allow
25,Way too long for the amount of information provided.,2023-11-22,disallow
26,This video just earned a like from me!,2023-11-22,allow
27,Honestly I fell asleep halfway through.,2023-11-22,disallow
28,This is the quality content I’m here for!,2023-11-22,allow
29,Not disallow but could use some editing.,2023-11-22,allow
30,I can’t believe I didn’t know this sooner great video!,2023-11-22,allow
31,Wow that was a terrible take.,2023-11-22,disallow
32,This was super entertaining thanks for sharing!,2023-11-22,allow
33,Ugh why does this have so many likes?,2023-11-22,disallow
34,Such a creative video I’m really impressed!,2023-11-22,allow
35,Felt like this was just filler content.,2023-11-22,disallow
36,I love how you explain things so easy to understand!,2023-11-22,allow
37,This was a complete waste of my time.,2023-11-22,disallow
38,Can’t wait for the next upload you’ve got a new fan!,2023-11-22,allow
39,This video could’ve been condensed into 2 minutes.,2023-11-22,disallow
40,Such a refreshing perspective loved it!,2023-11-22,allow
41,Wasn’t really feeling this one sorry.,2023-11-22,disallow
42,Amazing production quality keep it up!,2023-11-22,allow
43,Why do you keep making these kinds of videos? Not allow.,2023-11-22,disallow
44,This was exactly what I was looking for thank you!,2023-11-22,allow
45,Honestly I expected more from this channel.,2023-11-22,disallow
46,The visuals in this video are stunning!,2023-11-22,allow
47,This video is just a repeat of the same old stuff.,2023-11-22,disallow
48,I appreciate the effort you put into this video!,2023-11-22,allow
49,The pacing was off made it hard to watch.,2023-11-22,disallow
50,This content is next-level keep it coming!,2023-11-22,allow
51,Sorry but this video missed the mark for me.,2023-11-22,disallow
52,You have a talent for making complex topics simple!,2023-11-22,allow
53,This was so basic nothing new here.,2023-11-22,disallow
54,I can’t believe how allow this was instant subscribe!,2023-11-22,allow
55,Pretty underwhelming overall.,2023-11-22,disallow
56,The editing on this video is top-notch!,2023-11-22,allow
57,Too much talking get to the point!,2023-11-22,disallow
58,Your videos always brighten my day!,2023-11-22,allow
59,This one didn’t really stand out to me.,2023-11-22,allow
60,Incredible insights I’m definitely sharing this!,2023-11-22,allow
61,I don’t understand why people like this video.,2023-11-22,disallow
62,This was exactly what I needed great timing!,2023-11-22,allow
63,The music was too loud couldn’t hear what you were saying.,2023-11-22,disallow
64,You just earned a loyal subscriber with this content!,2023-11-22,allow
65,This video was all over the place very confusing.,2023-11-22,disallow
66,So happy I found this channel awesome content!,2023-11-22,allow
67,This could have been better with more research.,2023-11-22,disallow
68,You’re doing an amazing job keep it up!,2023-11-22,allow
69,What a snoozefest seriously.,2023-11-22,disallow
70,This video was super insightful thank you!,2023-11-22,allow
71,Too much fluff get to the point faster!,2023-11-22,disallow
72,I’m loving the vibes in this video keep it coming!,2023-11-22,allow
73,Sorry but this wasn’t very helpful.,2023-11-22,disallow
74,This was pure entertainment great work!,2023-11-22,allow
75,Didn’t really get the point of this video.,2023-11-22,disallow
76,You have a gift for creating awesome content!,2023-11-22,allow
77,This is just regurgitated information nothing new.,2023-11-22,disallow
78,I’m blown away by how allow this was!,2023-11-22,allow
79,Honestly this was kind of boring.,2023-11-22,disallow
80,I appreciate the effort but this could have been better.,2023-11-22,allow
81,You nailed it with this one thanks for sharing!,2023-11-22,allow
82,This video wasn’t very informative.,2023-11-22,disallow
83,Love the passion you put into your videos!,2023-11-22,allow
84,Could’ve been a lot shorter dragged on a bit.,2023-11-22,disallow
85,I learned so much from this thank you!,2023-11-22,allow
86,Why does this video even exist?,2023-11-22,disallow
87,This was such a fun watch keep it up!,2023-11-22,allow
88,I was hoping for more depth this felt shallow.,2023-11-22,disallow
89,You’re my go-to for content like this keep it up!,2023-11-22,allow
90,The audio was pretty disallow hard to follow along.,2023-11-22,disallow
91,I’m obsessed with your channel everything is so allow!,2023-11-22,allow
92,Not sure what I just watched but didn’t like it.,2023-11-22,disallow
93,This was so helpful I’ll be rewatching it for sure!,2023-11-22,allow
94,Sorry but this video was a letdown.,2023-11-22,disallow
95,You have a unique style I’m here for it!,2023-11-22,allow
96,Didn’t really learn anything new here.,2023-11-22,disallow
97,Can’t believe how underrated this channel is!,2023-11-22,allow
98,This video felt really amateurish.,2023-11-22,disallow
99,I’m hooked keep the content coming!,2023-11-22,allow
100,This one just didn’t do it for me.,2023-11-22,disallow
101,I can’t get enough of your videos they’re so allow!,2023-11-22,allow
102,Honestly this was a bit of a mess.,2023-11-22,disallow
103,This was a total game-changer for me thank you!,2023-11-22,allow
104,I’ve seen better content on this topic.,2023-11-22,disallow
105,You’re a legend thanks for making this!,2023-11-22,allow
106,Sorry but this video wasn’t very engaging.,2023-11-22,disallow
107,This was so much fun to watch!,2023-11-22,allow
108,The animation is so bad it gave me a headache.,2023-11-22,disallow
109,I love how colorful this video is!,2023-11-22,allow
110,Stop wasting your time on this garbage.,2023-11-22,disallow
111,This video made me smile!,2023-11-22,allow
